"Scenario","Variable","Region","Sector","Units","2025","2026","2027","2028","2029","2030"
"S03","GDPR","KOR","NA","Percentage GDP Deviation",0.0159197382235201,-0.50728951087382,-0.0473187860676496,0.0224776086554001,0.0297843270968081,0.0325353284371176
"S03","GDPR","ADV","NA","Percentage GDP Deviation",0.0001687963648913,-0.069140617158202,-0.0013702204390746,0.0105545055944671,0.0057408633675902,0.0030345009442979
"S03","GDPR","CHN","NA","Percentage GDP Deviation",0.0076896616814096,-0.181483824188044,0.0006980464589252,0.0204826126188401,0.0133466610849891,0.0086926241245196
"S03","GDPR","IND","NA","Percentage GDP Deviation",0.0212875468106948,-0.45694602063434,-0.0445501982788107,0.0349150205284758,0.0365118961259163,0.0277529128672334
"S03","GDPR","IDN","NA","Percentage GDP Deviation",0.0088612940861412,-0.0529370183472159,0.0096561365408804,0.0043083864823547,0.00033062183496,-0.0006931079470739
"S03","GDPR","PHL","NA","Percentage GDP Deviation",0.011563727516545,-0.146350062874923,-0.0025172584072225,-0.0015440603574072,-0.002623995935513,-0.001488055809922
"S03","GDPR","VNM","NA","Percentage GDP Deviation",0.0145522693870148,-0.226274481662152,-0.0111587318018199,0.0250743997628422,0.0214911954103256,0.0166569027968382
"S03","GDPR","THA","NA","Percentage GDP Deviation",0.0150223759172285,-0.418003087513022,-0.0384010437616742,0.0025489151714886,0.0053378990845912,0.0085544924637136
"S03","GDPR","MYS","NA","Percentage GDP Deviation",0.0034096101312252,-0.134701552335367,-0.0025534631690274,0.0109913948512264,0.0074399752913528,0.005369386519666
"S03","GDPR","PAK","NA","Percentage GDP Deviation",0.0141531766054103,-0.314044532266099,-0.0137326234478046,0.002685296065198,-0.003580713743511,-0.0067679389085897
"S03","GDPR","BGD","NA","Percentage GDP Deviation",0.0089547601701028,-0.106374911213459,-0.0040189065726725,0.0103358805963491,0.0058810745927372,0.0032961939319989
"S03","GDPR","LKA","NA","Percentage GDP Deviation",0.0048840726773828,-0.065057846720028,-0.004731031732013,-0.0042446223725505,-0.0044493450044825,-0.0037245192033745
"S03","GDPR","ROA","NA","Percentage GDP Deviation",0.0186045105181403,-0.407140252846836,-0.0391424108370523,-0.0054454324590217,0.0020966071727748,0.0100930186695065
"S03","GDPR","LAM","NA","Percentage GDP Deviation",0.0017686105647659,-0.087831527425604,-0.0008025192987224,0.0110926548432578,0.007465624141625,0.0051339872433899
"S03","GDPR","AFR","NA","Percentage GDP Deviation",0.0086848989860018,-0.0955182857039901,0.0017558914162215,0.0083130913186329,0.0042366218924742,0.002436882993481
"S03","GDPR","MEN","NA","Percentage GDP Deviation",-0.0023857578088525,-0.0532946192527076,0.000326448879251,0.0059035423658046,0.0024182997270067,0.0003692451847204
"S03","GDPR","ROW","NA","Percentage GDP Deviation",0.0014243667963852,-0.135621861091226,-0.0046205690563636,0.0072449740195003,0.0040819799966375,0.002545743222327
"S03","INFL","USA","NA","Percentage Point Deviation",0.0003428660461324,0.0142235882989894,-0.0194388296222314,0.0063216041786163,0.0008415935260686,-0.0007254051588745
"S03","INFL","JPN","NA","Percentage Point Deviation",0.0279782778392246,0.0875287293574445,-0.127483488211055,0.0088467491131894,0.0025372420893177,-0.0028392410833078
"S03","INFL","EUW","NA","Percentage Point Deviation",0.0177561961205441,0.120848295794929,-0.143815403221659,0.0058767002110827,0.0041062979411421,-0.0034387437764849
"S03","INFL","AUS","NA","Percentage Point Deviation",-0.0089804948185446,0.0279185800005521,-0.0349899815176968,0.01530693963403,0.0063331863842109,-0.0003580532727199
"S03","INFL","KOR","NA","Percentage Point Deviation",0.0702568037041829,0.148288015253684,-0.222970353991059,0.0063160155292508,0.0037835555701804,-0.0069432673633685
"S03","INFL","ADV","NA","Percentage Point Deviation",-0.0051350553619045,0.0305891249611889,-0.0321376790287431,0.0062812382527255,0.0027161055889735,-0.0003599318695535
"S03","INFL","CHN","NA","Percentage Point Deviation",0.0202039402353194,0.0298327658136088,-0.0627880785806667,0.0100330325519593,0.0037658484743019,-0.0009120785691152
"S03","INFL","IND","NA","Percentage Point Deviation",0.0579681196210657,0.173964248645042,-0.235776993372205,-0.0168941873313955,0.0082100235495375,0.0023859129127501
"S03","INFL","IDN","NA","Percentage Point Deviation",0.0245517473565826,-0.0765612344864053,0.0329752681142992,0.0236033149313641,0.0041049203105104,-0.0007780346333419
"S03","INFL","PHL","NA","Percentage Point Deviation",0.0383939871384076,-0.0218830126177849,-0.0207415370870656,0.0169549268174141,0.0008063147578508,-0.0039949971303965
"S03","INFL","VNM","NA","Percentage Point Deviation",0.0277182652091312,0.0569539631516847,-0.102785677646366,0.0045121191451614,0.0061193340282983,0.0001472864539664
"S03","INFL","THA","NA","Percentage Point Deviation",0.0660176218346464,0.169540664237644,-0.232698739965542,0.0006790840885174,0.0001926102441985,-0.0066603570104462
"S03","INFL","MYS","NA","Percentage Point Deviation",0.0085097802760004,0.0424946056305942,-0.0664156727339105,0.0169157983819446,0.0046028561733635,-0.0019797459977156
"S03","INFL","PAK","NA","Percentage Point Deviation",0.0381094264804815,0.0332227015366726,-0.0724728993706236,0.008730082096875,0.0031256684229319,-0.0005739252554093
"S03","INFL","BGD","NA","Percentage Point Deviation",0.0137082406951095,0.0199470274820257,-0.0430342655624472,0.0084439518362345,0.0039670037979889,-0.0005106556805856
"S03","INFL","LKA","NA","Percentage Point Deviation",0.0407080563277873,-0.0158430156297129,-0.0214283056941156,0.0242799849310416,0.0019011810053371,-0.0048333438257941
"S03","INFL","ROA","NA","Percentage Point Deviation",0.0715534441020793,0.0823549520422517,-0.15095987565914,0.0083744033723576,-0.0009590752647171,-0.0090528838178727
"S03","INFL","LAM","NA","Percentage Point Deviation",0.0017644556011831,0.0319890739422846,-0.0436160520424167,0.0077518772974017,0.003042099341144,-0.0002607046539538
"S03","INFL","AFR","NA","Percentage Point Deviation",0.018735428685801,-0.0072237291101729,-0.0266184853710882,0.0167694708876454,0.0049289785637896,-0.0012039188327151
"S03","INFL","MEN","NA","Percentage Point Deviation",-0.0219807113225556,0.0263175913929103,-0.0226262782732078,0.0238908101422908,0.0064063663280933,-0.0006394304961077
"S03","INFL","ROW","NA","Percentage Point Deviation",0.0036716049130803,0.0551476977285859,-0.0701358269637353,0.017050230484017,0.0038408211246121,-0.0021317877170191
"S04","GDPR","USA","NA","Percentage GDP Deviation",0.0043367996395588,-0.122909021608523,0.0007367341145581,0.0114541420342261,0.0045363360563451,0.0024252102270582
"S04","GDPR","JPN","NA","Percentage GDP Deviation",0.0082575412936868,-0.561959307052488,-0.0323598519961908,0.0343582827173176,0.0328150493792556,0.0303927185194906
"S04","GDPR","EUW","NA","Percentage GDP Deviation",0.0067577265251633,-0.532724800888899,-0.047215690257715,0.0288457641753237,0.0292904346780921,0.0263771438788836
"S04","GDPR","AUS","NA","Percentage GDP Deviation",-0.0042571517894459,-0.155116224587507,0.0057625785227022,0.0315130162119044,0.0167532982022344,0.0073492376815381
"S04","GDPR","KOR","NA","Percentage GDP Deviation",0.0318394764500638,-1.0145790217502,-0.0946375721354819,0.0449552173100626,0.0595686541916498,0.0650706568726711
"S04","GDPR","ADV","NA","Percentage GDP Deviation",0.0003375927305521,-0.13828123431472,-0.0027404408760783,0.0211090111904797,0.0114817267360599,0.0060690018899827
"S04","GDPR","CHN","NA","Percentage GDP Deviation",0.0153793233697695,-0.362967648379564,0.0013960929181088,0.040965225240313,0.0266933221715689,0.0173852482509056
"S04","GDPR","IND","NA","Percentage GDP Deviation",0.0425750936229856,-0.913892041268329,-0.0891003965565624,0.0698300410578128,0.0730237922524292,0.0555058257343124
"S04","GDPR","IDN","NA","Percentage GDP Deviation",0.0177225881724839,-0.105874036694527,0.019312273081671,0.0086167729648803,0.000661243670072,-0.0013862158940689
"S04","GDPR","PHL","NA","Percentage GDP Deviation",0.0231274550332195,-0.292700125750165,-0.0050345168146298,-0.0030881207147798,-0.0052479918708626,-0.0029761116199216
"S04","GDPR","VNM","NA","Percentage GDP Deviation",0.0291045387763782,-0.452548963326883,-0.0223174636023625,0.0501487995260129,0.0429823908203507,0.0333138055928549
"S04","GDPR","THA","NA","Percentage GDP Deviation",0.0300447518384093,-0.836006175027679,-0.07680208752229,0.0050978303443014,0.0106757981699717,0.0171089849287242
"S04","GDPR","MYS","NA","Percentage GDP Deviation",0.0068192202660003,-0.269403104673907,-0.0051069263393554,0.0219827897011238,0.0148799505815325,0.0107387730373336
